emp_no,emp_title_id,birth_date,first_name,last_name,sex,hire_date
88386,e0003,7/5/1955,Jiann,Bondorf,M,1/1/1986
214099,e0003,1/18/1954,Holgard,Prenel,F,1/1/1986
26365,s0001,2/25/1962,Hercules,Veevers,M,1/1/1986
77007,s0001,5/21/1961,Achilleas,Kroft,F,1/1/1986
219203,s0001,11/10/1957,Unal,Cooley,F,1/1/1986
498761,e0003,10/9/1958,Chaoyi,Kaiserswerth,M,1/1/1986
248293,s0001,1/30/1961,Bedir,Vanwelkenhuysen,M,1/1/1986
47413,s0001,5/7/1956,Nirmal,Comyn,F,1/1/1986
245335,e0002,3/27/1957,Mario,Schrift,F,1/1/1986
259440,e0003,5/8/1953,Subir,Shumilov,F,1/1/1986
421721,s0001,9/26/1953,Shao,Reinhart,F,1/1/1986
72864,e0003,4/2/1953,Moie,McConalogue,M,1/1/1986
465446,s0001,12/2/1952,Jaihie,Soicher,F,1/1/1986
100711,s0001,10/28/1958,Kwangyoen,Rosca,M,1/1/1986
265749,e0003,3/15/1956,Uri,Asmuth,F,1/1/1986
13415,e0004,6/23/1955,Nathalie,Speer,F,1/1/1986
424450,e0002,8/6/1958,Dzung,Jervis,M,1/1/1986
268761,s0001,11/5/1955,Zhanqiu,Buescher,M,1/1/1986
219621,s0001,12/5/1954,Constantino,Brookman,M,1/1/1986
103944,e0002,4/12/1963,Domenick,Dehkordi,M,1/1/1986
52692,e0003,5/26/1962,Domenico,Debuse,M,1/1/1986
253787,s0001,3/17/1956,Filipe,Bottner,M,1/1/1986
434949,e0003,3/10/1952,Hausi,Lores,M,1/1/1986
471203,e0003,11/30/1955,Jianhao,Serot,M,1/1/1986
224714,s0001,5/15/1956,Mario,Orlowska,F,1/1/1986
213442,e0003,5/23/1963,Vidar,Tibblin,M,1/1/1986
13094,e0002,12/19/1964,Sanjay,Servieres,F,1/1/1986
104764,e0003,2/17/1961,Juichirou,Munke,M,1/1/1986
48489,s0002,6/23/1962,Danae,Nyanchama,F,1/1/1986
22576,e0003,2/11/1962,Shawna,Reinhart,F,1/1/1986
100812,e0003,7/19/1963,Saniya,Lanphier,F,1/1/1986
208807,e0003,7/5/1952,Zita,Shobatake,F,1/1/1986
458582,e0003,11/30/1960,Shir,Sambasivam,M,1/1/1986
64978,s0001,9/11/1963,Youssef,Janocha,M,1/1/1986
31961,s0002,5/9/1961,Alejandra,Luce,M,1/1/1986
14845,s0002,8/10/1962,Theron,Homond,F,1/1/1986
496085,e0003,9/9/1961,Yongqiao,Reinhard,F,1/1/1986
225277,e0001,5/30/1952,Hercules,Harbusch,M,1/1/1986
483739,e0003,7/8/1964,Jiang,Bierbaum,M,1/1/1986
200640,e0003,5/8/1959,Shahar,Waterhouse,F,1/1/1986
417105,s0001,1/24/1959,Lijia,Rettelbach,F,1/1/1986
221613,e0003,10/23/1952,Ziyad,Famili,M,1/1/1986
469053,s0001,12/22/1955,Vidya,Dymetman,F,1/1/1986
29119,s0001,3/18/1958,Toshiko,Felder,F,1/1/1986
108318,e0003,7/13/1961,Poorav,Papastamatiou,M,1/1/1986
29708,e0003,5/7/1962,Sachar,Undy,M,1/1/1986
219853,e0003,6/4/1957,Shahid,Baaz,M,1/1/1986
90916,e0003,1/23/1956,Eishiro,Curless,M,1/1/1986
492463,s0002,8/31/1954,Kwangjo,Zirintsis,M,1/1/1986
89812,e0003,5/13/1952,Boriana,Vingron,F,1/1/1986
232578,e0003,3/9/1963,Guadalupe,Smeets,M,1/1/1986
279357,s0001,2/16/1962,Manibrata,Stiles,F,1/1/1986
262840,e0003,4/25/1964,Munehiko,Masaki,F,1/1/1986
224288,e0003,2/4/1954,Kazunori,Meriste,F,1/1/1986
430556,e0003,6/28/1961,Arlette,Boguraev,M,1/1/1986
255744,s0001,2/4/1963,Mayuri,Muntz,F,1/1/1986
415376,e0003,8/28/1954,Sungwon,Range,M,1/1/1986
232210,e0003,10/21/1963,Sumant,Stemann,F,1/1/1986
37711,e0003,10/15/1957,Sampalli,Godskesen,M,1/1/1986
104083,s0001,12/25/1963,Basil,Matteis,F,1/1/1986
16483,e0003,7/7/1964,Kwangyoen,Karlin,M,1/1/1986
476952,e0004,1/17/1957,Eirik,Duclos,M,1/1/1986
475924,e0002,10/12/1955,Tran,Herath,M,1/1/1986
28637,s0001,9/29/1963,Moto,Kenevan,M,1/1/1986
448755,e0003,3/5/1954,Masaki,Reeker,M,1/1/1986
65089,e0003,8/12/1956,Giri,Cooman,F,1/1/1986
42013,e0002,7/31/1957,Tianruo,Demri,M,1/1/1986
262950,e0004,7/4/1960,Yinghua,Vidal,M,1/1/1986
407967,e0003,9/26/1954,Tamiya,Simkin,M,1/1/1986
202218,s0001,3/24/1959,Kristian,Bergere,M,1/1/1986
487879,s0001,11/9/1956,Yongmao,Fritzsche,M,1/1/1986
492784,e0002,10/28/1957,Mohammed,Bahk,M,1/1/1986
433424,e0003,3/17/1961,Yongqiao,Dulay,F,1/1/1986
445833,s0001,6/22/1959,Juyoung,Stanger,M,1/1/1986
482916,e0003,12/15/1962,Vasilis,Kisuki,M,1/1/1986
417922,s0001,5/7/1958,Ziyad,Bhattacharjee,M,1/1/1986
441840,s0001,3/22/1964,Stein,Thiran,F,1/1/1986
414357,s0001,10/19/1963,Pranas,Baek,M,1/1/1986
411185,s0001,9/13/1957,Abdelkader,Marrakchi,F,1/1/1986
231980,s0001,2/18/1958,Deniz,Niizuma,M,1/1/1986
422911,e0003,7/17/1959,Kwangjo,Peral,M,1/2/1986
472417,s0001,10/23/1964,Yucel,Bojadziev,M,1/2/1986
103410,e0002,1/30/1963,Uwe,Swick,M,1/2/1986
29115,e0003,10/20/1964,Shiv,Furedi,F,1/2/1986
88793,s0001,11/20/1957,Gully,Ghandeharizadeh,M,1/2/1986
400063,e0003,2/3/1962,Jungsoon,Zhiwei,M,1/2/1986
484504,s0001,9/2/1952,Gou,Orlowski,M,1/2/1986
99918,s0001,5/25/1963,Tristan,Raoux,F,1/2/1986
68692,e0003,9/5/1952,Behnaam,Monarch,M,1/2/1986
93216,s0001,1/8/1953,Dung,Chelton,M,1/2/1986
200603,s0001,8/22/1959,Shuho,Koblitz,M,1/2/1986
425942,s0002,2/10/1952,Frazer,Litvinov,M,1/2/1986
438915,s0001,1/19/1954,Marsha,Szilard,F,1/2/1986
414045,e0002,3/8/1961,Akhilish,Spataro,M,1/2/1986
432419,e0004,1/25/1953,Yifei,Brookner,F,1/2/1986
409790,e0003,8/8/1962,Miquel,Marrakchi,F,1/2/1986
80082,s0001,7/18/1953,Shaleah,Salverda,M,1/2/1986
272354,s0001,11/29/1960,Danil,Panwar,M,1/2/1986
10170,e0002,10/3/1960,Kasturi,Jenevein,F,1/2/1986
233541,e0002,5/1/1952,Amalendu,Ecklund,M,1/2/1986
238011,e0003,11/22/1957,Maren,Morrow,M,1/2/1986
217164,e0002,10/24/1958,Rosalie,McFarlan,M,1/2/1986
259830,e0003,2/28/1964,Holgard,Nations,F,1/2/1986
236360,s0001,11/1/1956,Hugh,Hitomi,F,1/2/1986
429848,e0003,2/3/1960,Danco,Lundstrom,M,1/2/1986
476012,s0001,9/10/1961,Leaf,Vigier,F,1/2/1986
206424,e0003,7/21/1963,Sanjit,Genther,M,1/2/1986
291270,s0002,12/4/1953,Lorien,Riefers,F,1/2/1986
252138,e0003,1/27/1953,Kiyotoshi,Zaiane,M,1/2/1986
18248,s0001,6/3/1960,Jouko,Zwicker,M,1/2/1986
47821,e0003,7/7/1953,Raimond,Mitina,M,1/2/1986
238538,e0003,11/18/1955,Fumitaka,Pehl,M,1/2/1986
472715,e0002,8/9/1956,Zhensheng,Laventhal,F,1/2/1986
227969,s0001,9/28/1952,Falguni,Mandell,M,1/2/1986
109469,e0003,7/9/1964,Georg,Felder,M,1/2/1986
468647,s0001,6/22/1962,Seongbae,Szmurlo,F,1/2/1986
493231,e0003,11/24/1958,Gianluca,Gini,F,1/2/1986
251665,s0001,2/28/1959,Maria,Granlund,F,1/2/1986
468741,e0003,10/1/1961,Berhard,Plavsic,M,1/2/1986
475269,e0003,8/30/1952,Rance,Cullers,F,1/2/1986
91774,s0001,2/7/1952,Hugo,Pietracaprina,M,1/2/1986
433955,s0001,4/21/1953,Niteen,Daescu,F,1/2/1986
59575,s0001,2/3/1960,Patricio,Shumilov,M,1/2/1986
264819,s0001,12/6/1961,Jenwei,Erez,M,1/2/1986
459282,s0001,10/29/1962,Kousuke,Suwa,M,1/2/1986
215514,s0001,7/9/1963,Kien,Sidhu,F,1/2/1986
464568,e0002,7/7/1963,Leucio,Perry,M,1/2/1986
261507,s0002,12/24/1955,George,Driscoll,F,1/2/1986
204004,s0001,10/26/1959,Adamantios,Ullian,M,1/2/1986
58468,s0002,7/25/1953,Lucian,Limongiello,F,1/2/1986
